toinc,ttotex
73965,73844
75000,84004
124605,129069
135057,107203
205757,167978
170343,146210
82103,66106
155607,124992
166931,141859
52955,49509
122320,106034
143445,130266
299334,202270
116280,95434
110025,95330
103556,101756
152897,147589
57653,55062
119210,95543
111778,102473
131798,103123
82606,118781
68553,58796
54656,57905
345678,358286
49112,53222
210184,225011
56811,52027
133214,105411
105089,86439
82254,63646
85776,76055
91722,121618
63747,62816
92118,84271
25481,27226
73766,87692
299260,156963
96002,78111
354028,166225
91520,65746
170400,98037
200320,136106
184788,148510
279987,236698
310485,241615
117090,108609
164296,137541
163070,175001
187019,178718
263066,225216
125275,149028
629725,328116
161760,121330
191954,161227
198267,177869
120716,111005
46515,56561
58651,65304
68730,59448
93812,77360
167034,149700
83590,98611
140382,154637
189172,164009
78338,74473
275500,241501
1175115,527151
192328,129184
118380,101453
387909,209575
158656,159315
181017,171375
139414,111335
45105,56171
24110,22950
311591,194114
79168,93111
223805,142930
106030,95412
100236,90375
123621,126933
59558,38396
133567,118500
120310,144597
169312,150020
81361,53608
80090,81860
132130,124351
49125,47510
49647,38875
127712,131594
98452,67174
96330,97170
124485,94852
87027,111029
91370,98567
94456,107941
145670,94247
46738,62251
230857,247283
207753,226814
33023,25512
64250,74442
660987,537716
1724760,1642693
189714,121761
1691580,991019
349681,329429
453465,354589
196060,174303
129097,137928
82883,82802
170819,135234
78114,93192
41479,47897
289267,265494
157400,149283
352189,289238
198685,145634
440365,405977
102255,104449
11639365,1247863
290077,208076
189136,175796
509426,211639
167931,121086
122314,101880
88337,58012
321263,185567
408882,196759
174066,110992
405007,352203
66951,65768
85016,68222
149484,129358
143133,98667
131817,84362
145097,57577
215553,170040
122351,82770
167409,134366
44580,47149
63926,64613
118542,111302
92213,80359
110079,99850
164079,159238
128245,97520
207535,200941
132657,107816
115465,124271
73238,75687
314017,237595
426393,342948
41589,33997
77988,46811
132689,92000
140793,123738
224229,140785
765689,503772
163119,124944
132982,99596
46188,46396
115662,106918
81005,85809
136983,53250
131190,101651
88399,76568
121519,98609
60254,54780
83233,59790
96660,56991
261070,169139
281540,216696
102395,90967
144103,143315
86061,66068
231469,170920
87979,87397
155503,121320
69835,65393
250725,226817
281469,199702
139176,144667
89860,81412
100988,104658
105112,135918
154778,142787
161115,148196
121960,124207
111100,111195
270619,270954
222828,224734
197383,188568
277058,256768
262269,246474
91537,69981
135741,137289
1728465,1520415
535140,416961
555190,494069
314207,212593
234401,243962
157142,139378
285210,312001
485949,386247
149625,154652
97951,105063
121114,114690
185018,129757
103433,97571
129305,125277
84474,74346
79475,55784
85406,110074
68186,52730
103554,115024
67590,45368
117835,78260
133339,110332
61325,63087
115235,116318
105011,94813
85142,79908
134793,130328
99245,90527
126738,125651
156175,176022
124270,90303
464649,380255
111570,114384
104965,103093
150735,114923
164801,157381
136485,131144
51135,45924
106149,88736
112620,126507
129182,124085
136167,120072
217170,140285
49522,40650
97434,117566
141374,96675
125416,110705
104856,128947
240532,163641
88541,83660
144933,132713
219725,204561
289209,234135
143873,145876
675150,689551
868494,765805
46085,47364
222240,162058
226865,196837
142100,146251
85120,69385
166435,155602
200964,203180
154202,132242
101694,118255
106470,109991
126625,91776
38705,48050
84385,96575
504867,259117
322879,421265
207719,197697
139081,114690
342609,296116
185280,164603
565672,630058
258627,226605
114663,121617
164084,163835
135722,105694
141884,147476
81872,80086
146783,136509
429800,389982
172899,149477
164182,177407
189727,178875
129234,128230
180377,182497
57233,50668
199637,184317
161632,179005
48222,46312
64085,59353
103720,88477
472470,224893
94969,85461
247660,240890
