Date,AC,MER,SM
11/12/2012,450,261.2,434.667
11/13/2012,443,260.8,434.667
11/14/2012,444,260,436.267
11/15/2012,445.2,250.6,434.133
11/16/2012,449.8,252.6,434.4
11/19/2012,455,254.2,436.8
11/20/2012,465,256.6,435.733
11/21/2012,487.8,256.8,443.2
11/22/2012,480,253,444.8
11/23/2012,486.6,255.4,442.667
11/26/2012,484,255,445.867
11/27/2012,480,255.2,446.667
11/28/2012,487,264.2,448.8
11/29/2012,481.2,262,449.333
12/03/2012,496,271.6,467.733
12/04/2012,498,266,462.933
12/05/2012,499.2,265.4,458.667
12/06/2012,510,263.2,450.667
12/07/2012,520,262.4,452
12/10/2012,518,261.8,462.933
12/11/2012,527,262.6,459.733
12/12/2012,510,260,479.467
12/13/2012,500,260,466.667
12/14/2012,493,258,458.933
12/17/2012,495,257.4,450.133
12/18/2012,500,256,435.2
12/19/2012,510,263,442.133
12/20/2012,530,262,453.333
12/21/2012,527,262,465.867
12/26/2012,525,260.8,474.4
12/27/2012,511,261.8,480.267
12/28/2012,517,260.6,469.333
01/02/2013,526,263,470.4
01/03/2013,534,269.8,480
01/04/2013,544,270,488
01/07/2013,550,272.4,486.4
01/08/2013,550.5,268,492.267
01/09/2013,550,277,500.8
01/10/2013,547,275.6,505.067
01/11/2013,550,278.6,490.667
01/14/2013,540,279.8,490.667
01/15/2013,530,279.8,495.733
01/16/2013,522,273.2,496
01/17/2013,520.5,279.6,494.933
01/18/2013,529,281.8,501.333
01/21/2013,523.5,279.8,515.733
01/22/2013,522,276,522.667
01/23/2013,530,279.6,514.667
01/24/2013,542,280.4,506.667
01/25/2013,552,284.6,503.733
01/28/2013,550.5,294.2,503.467
01/29/2013,555.5,299,504
01/30/2013,555.5,299.6,502.667
01/31/2013,568,290.2,506.667
02/01/2013,551.5,298.8,507.733
02/04/2013,574,299.8,507.733
02/05/2013,576,299.6,522.667
02/06/2013,566,299,530.667
02/07/2013,562.5,304.6,528
02/08/2013,564.5,303.8,530.133
02/11/2013,562,303,529.867
02/12/2013,561,299.4,533.333
02/13/2013,563.5,300,532.8
02/14/2013,566.5,301.6,534.933
02/15/2013,580,302.6,531.733
02/18/2013,577,305,526.4
02/19/2013,581,313,531.733
02/20/2013,580,310,533.333
02/21/2013,568,309.4,537.067
02/22/2013,571,308,545.6
02/25/2013,590,312.6,542.4
02/26/2013,584,313.8,546.133
02/27/2013,579.5,312,538.667
02/28/2013,579.5,314,538.667
03/01/2013,570.5,315,556.8
03/04/2013,556,315,539.733
03/05/2013,577,322,536
03/06/2013,586,328,541.333
03/07/2013,562,322.2,551.467
03/08/2013,565,324.8,560.533
03/11/2013,563,323,586.667
03/12/2013,555,322.2,585.067
03/13/2013,559,320,588.8
03/14/2013,550,322,585.6
03/15/2013,561,330,573.333
03/18/2013,550,314.8,575.467
03/19/2013,545,315.8,550.933
03/20/2013,550,313.4,538.667
03/21/2013,550,315,545.067
03/22/2013,551,314,546.667
03/25/2013,555.5,312,550.933
03/26/2013,558.5,311.8,554.667
03/27/2013,566,326.6,564.8
04/01/2013,580,319,594.667
04/02/2013,574,319.2,613.333
04/03/2013,585,324,602.667
